Upper and lower bounds for the problem
Iteration: 230;  Base position: 302.664039025904 mm; Feasibility: YES!; Manipulability: 0.10915 
Iteration 231; Item picked: Cube_11; Base position: 1491.4516621962002 mm; Feasibility: NO! 
Iteration: 232;  Base position: -267.9987791569256 mm; Feasibility: YES!; Manipulability: 0.16363 
Iteration 233; Item picked: Cube_11; Base position: -452.84724843502795 mm; Feasibility: NO! 
Iteration 234; Item picked: Cube_12; Base position: -1243.8740666732908 mm; Feasibility: NO! 
Iteration 235; Item picked: Cube_10; Base position: 1327.8039570133824 mm; Feasibility: NO! 
Iteration: 236;  Base position: 618.5773862914862 mm; Feasibility: YES!; Manipulability: 0.1355 
Iteration 237; Item picked: Cube_12; Base position: -1099.605531463195 mm; Feasibility: NO! 
Iteration: 238;  Base position: 633.4843752864181 mm; Feasibility: YES!; Manipulability: 0.14621 
Iteration: 239;  Base position: 734.9700961105432 mm; Feasibility: YES!; Manipulability: 0.13558 
Iteration: 240;  Base position: -299.83761904243784 mm; Feasibility: YES!; Manipulability: 0.15547 
Iteration 241; Item picked: Cube_11; Base position: 1341.2878910482505 mm; Feasibility: NO! 
Iteration 242; Item picked: Cube_10; Base position: -639.732426796675 mm; Feasibility: NO! 
Iteration 243; Item picked: Cube_12; Base position: -799.7820131679637 mm; Feasibility: NO! 
Iteration: 244;  Base position: 445.1985501004349 mm; Feasibility: YES!; Manipulability: 0.12822 
Iteration 245; Item picked: Cube_12; Base position: -325.8719119307675 mm; Feasibility: NO! 
Iteration: 246;  Base position: 11.556851503254848 mm; Feasibility: YES!; Manipulability: 0.14038 
Iteration 247; Item picked: Cube_11; Base position: 1273.546735139329 mm; Feasibility: NO! 
Iteration: 248;  Base position: 780.5031162221198 mm; Feasibility: YES!; Manipulability: 0.12392 
Iteration: 249;  Base position: 141.3064052581674 mm; Feasibility: YES!; Manipulability: 0.15487 
Iteration 250; Item picked: Cube_11; Base position: -672.2010809424212 mm; Feasibility: NO! 
Iteration: 251;  Base position: 473.7268683382813 mm; Feasibility: YES!; Manipulability: 0.12734 
Iteration: 252;  Base position: -154.2754515284771 mm; Feasibility: YES!; Manipulability: 0.18488 
Iteration: 253;  Base position: -118.36790999633968 mm; Feasibility: YES!; Manipulability: 0.18267 
Iteration 254; Item picked: Cube_12; Base position: -1054.7341337493726 mm; Feasibility: NO! 
Iteration: 255;  Base position: -175.98555946744182 mm; Feasibility: YES!; Manipulability: 0.17728 
Iteration: 256;  Base position: -21.217936303250553 mm; Feasibility: YES!; Manipulability: 0.13782 
Iteration 257; Item picked: Cube_10; Base position: 1227.0917533643537 mm; Feasibility: NO! 
Iteration 258; Item picked: Cube_11; Base position: -1148.9785145698525 mm; Feasibility: NO! 
Iteration: 259;  Base position: 723.802179338737 mm; Feasibility: YES!; Manipulability: 0.11068 
